ID,ProfileID,ListID,EntryEventTypeID,LegalBasisID,Comment,Year,Month,Day,SanctionsMeasureID,SanctionsTypeID,SanctionsMeasureComment,YearFixed,MonthFixed,DayFixed
6925,6925,1550,1,1,,2001,10,12,8545,1705,,true,true,true
6925,6925,1550,1,1,,2001,10,12,127204,1,SDGT,true,true,true
6926,6926,1550,1,1828,,2001,10,5,8594,1705,,true,true,true
6926,6926,1550,1,1828,,2001,10,5,127205,1,SDGT,true,true,true
6927,6927,1550,1,1,,2001,10,12,6759,1705,,true,true,true
6927,6927,1550,1,1,,2001,10,12,127206,1,SDGT,true,true,true
6928,6928,1550,1,1828,,2001,10,12,4808,1705,,true,true,true
6928,6928,1550,1,1828,,2001,10,12,127207,1,SDGT,true,true,true
6931,6931,1550,1,1,,2001,10,12,5272,1705,,true,true,true
6931,6931,1550,1,1,,2001,10,12,127210,1,SDGT,true,true,true
6932,6932,1550,1,1,,2001,10,12,5129,1705,,true,true,true
6932,6932,1550,1,1,,2001,10,12,127211,1,SDGT,true,true,true
6935,6935,1550,1,1,,2001,10,12,8824,1705,,true,true,true
6935,6935,1550,1,1,,2001,10,12,127214,1,FTO,true,true,true
6935,6935,1550,1,1,,2001,10,12,127215,1,SDGT,true,true,true
6936,6936,1550,1,1,,2001,10,12,6385,1705,,true,true,true
6936,6936,1550,1,1,,2001,10,12,127216,1,SDGT,true,true,true
6937,6937,1550,1,1,,2001,10,12,7076,1705,,true,true,true
6937,6937,1550,1,1,,2001,10,12,127217,1,SDGT,true,true,true
6938,6938,1550,1,1,,2001,10,12,6617,1705,,true,true,true
6938,6938,1550,1,1,,2001,10,12,127218,1,SDGT,true,true,true
6939,6939,1550,1,1828,,2001,10,12,9244,1705,,true,true,true
6939,6939,1550,1,1828,,2001,10,12,127219,1,SDGT,true,true,true
6940,6940,1550,1,1,,2001,10,12,7695,1705,,true,true,true
6940,6940,1550,1,1,,2001,10,12,127220,1,SDGT,true,true,true
6941,6941,1550,1,1,,2001,10,12,8568,1705,,true,true,true
6941,6941,1550,1,1,,2001,10,12,127221,1,SDGT,true,true,true
6944,6944,1550,1,1,,2001,10,12,5156,1705,,true,true,true
6944,6944,1550,1,1,,2001,10,12,127224,1,SDGT,true,true,true
6945,6945,1550,1,1,,2001,10,12,4246,1705,,true,true,true
6945,6945,1550,1,1,,2001,10,12,127225,1,SDGT,true,true,true
6946,6946,1550,1,1,,2001,10,12,6151,1705,,true,true,true
6946,6946,1550,1,1,,2001,10,12,127226,1,SDGT,true,true,true
6947,6947,1550,1,1,,2001,10,12,6970,1705,,true,true,true
6947,6947,1550,1,1,,2001,10,12,127227,1,SDGT,true,true,true
6948,6948,1550,1,1,,2001,10,12,6599,1705,,true,true,true
6948,6948,1550,1,1,,2001,10,12,127228,1,SDGT,true,true,true
6950,6950,1550,1,1828,,2001,10,12,2356,1705,,true,true,true
6950,6950,1550,1,1828,,2001,10,12,127230,1,SDGT,true,true,true
7006,7006,1550,1,1,,2001,11,7,7187,1705,,true,true,true
7006,7006,1550,1,1,,2001,11,7,127272,1,SDGT,true,true,true
7114,7114,1550,1,1828,,2001,12,4,8878,1705,,true,true,true
7114,7114,1550,1,1828,,2001,12,4,127289,1,SDGT,true,true,true
7115,7115,1550,1,1828,,2001,12,4,7569,1705,,true,true,true
7115,7115,1550,1,1828,,2001,12,4,127291,1,SDGT,true,true,true
7116,7116,1550,1,1828,,2001,12,4,7740,1705,,true,true,true
7116,7116,1550,1,1828,,2001,12,4,127293,1,SDGT,true,true,true
7132,7132,1550,1,1,,2001,12,20,6973,1705,,true,true,true
7132,7132,1550,1,1,,2001,12,20,127294,1,SDGT,true,true,true
7133,7133,1550,1,1,,2001,12,20,7165,1705,,true,true,true
7133,7133,1550,1,1,,2001,12,20,127295,1,SDGT,true,true,true
7135,7135,1550,1,1,,2001,12,20,8662,1705,,true,true,true
7135,7135,1550,1,1,,2001,12,20,127296,1,SDGT,true,true,true
7138,7138,1550,1,1,,2001,12,20,5966,1705,,true,true,true
7138,7138,1550,1,1,,2001,12,20,127297,1,SDGT,true,true,true
7140,7140,1550,1,91433,,2001,12,20,8946,1705,,true,true,true
7140,7140,1550,1,91433,,2001,12,20,127298,1,FTO,true,true,true
7140,7140,1550,1,91433,,2001,12,20,127299,1,SDGT,true,true,true
7141,7141,1550,1,1,,2001,12,31,7705,1705,,true,true,true
7141,7141,1550,1,1,,2001,12,31,127300,1,FTO,true,true,true
7141,7141,1550,1,1,,2001,12,31,127301,1,SDGT,true,true,true
7142,7142,1550,1,1,,2001,12,31,8915,1705,,true,true,true
7142,7142,1550,1,1,,2001,12,31,127302,1,SDGT,true,true,true
7143,7143,1550,1,1,,2001,12,31,6477,1705,,true,true,true
7143,7143,1550,1,1,,2001,12,31,127303,1,SDGT,true,true,true
7144,7144,1550,1,1,,2001,12,31,7852,1705,,true,true,true
7144,7144,1550,1,1,,2001,12,31,127304,1,SDGT,true,true,true
7145,7145,1550,1,1,,2001,12,31,8468,1705,,true,true,true
7145,7145,1550,1,1,,2001,12,31,127305,1,SDGT,true,true,true
7146,7146,1550,1,1,,2001,12,31,7537,1705,,true,true,true
7146,7146,1550,1,1,,2001,12,31,127306,1,SDGT,true,true,true
7148,7148,1550,1,1828,,2002,1,9,7542,1705,,true,true,true
7148,7148,1550,1,1828,,2002,1,9,127308,1,SDGT,true,true,true
7149,7149,1550,1,1828,,2002,1,9,5722,1705,,true,true,true
7149,7149,1550,1,1828,,2002,1,9,127309,1,SDGT,true,true,true
