FixedRef,ProfileID,PartySubTypeID,IdentityID,FixedRef,Primary,False,AliasFixedRef,AliasTypeID,Primary,LowQuality,DocumentedNameID,FixedRef,DocNameStatusID,NamePartValue,NamePartGroupID,ScriptID,ScriptStatusID,Acronym,FeatureID,FeatureTypeID,FeatureVersionID,ReliabilityID,Comment,VersionLocationID,NamePartTypeID
6725,6725,3,2388,6725,false,false,6725,1400,false,true,8767,6725,2,IMU,28837,215,1,false,154670,25,204670,1,,4670,1525
6726,6726,3,2941,6726,true,false,6726,1403,true,false,2941,6726,1,CAVIEDES DILEO Y CIA. S.C.S.,4614,215,1,false,154671,25,204671,1,,4671,1525
6823,6823,4,2958,6823,false,false,6823,1400,false,false,14168,6823,2,PATINO FOMEQUE,20861,215,1,false,1183,8,2653,1,,,1521
6824,6824,3,2959,6824,false,false,6824,1400,false,false,14169,6824,2,INPESCA S.A.,20862,215,1,false,154836,25,204836,1,,4836,1525
6826,6826,3,2961,6826,true,false,6826,1403,true,false,2961,6826,1,GALAPAGOS S.A,4644,215,1,false,154841,25,204841,1,,4841,1525
6831,6831,4,2966,6831,true,false,6831,1403,true,false,2966,6831,1,DUQUE BOTERO,4654,215,1,false,3787,8,2654,1,,,1521
6832,6832,4,2967,6832,false,false,6832,1400,false,false,14171,6832,2,ECHEVERRI HERRERA,20866,215,1,false,154851,25,204851,1,,4851,1521
6853,6853,3,2986,6853,false,false,6853,1400,false,false,65278,6853,2,IRA Army Council,116271,215,1,false,63267,504,60946,1,,,1525
6856,6856,4,2988,6856,false,false,6856,1400,false,false,14184,6856,2,AFGHAN,20886,215,1,false,1186,8,2659,1,,,1521
6857,6857,4,2989,6857,false,false,6857,1400,false,false,14193,6857,2,SALINAS AGUILAR,20904,215,1,false,1189,8,2662,1,,,1521
6858,6858,4,2990,6858,true,false,6858,1403,true,false,2990,6858,1,CARO QUINTERO,4701,215,1,false,1191,8,2664,1,,,1521
6859,6859,4,2991,6859,false,false,6859,1400,false,false,14194,6859,2,KHUN,20906,215,1,false,1193,8,2666,1,,,1521
6860,6860,4,2992,6860,false,false,6860,1400,false,false,14198,6860,2,GIL,20914,215,1,false,1195,8,2668,1,,,1521
