Element,ID,CountryID,Description,AreaCodeTypeID,OrganisationID,LegalBasisShortRef,LegalBasisTypeID,SanctionsProgramID,PartyTypeID,ScriptCode,Symmetrical
LegalBasis,92014,,,,,31 CFR 542.201(a),1,1,,,
LegalBasis,92021,,,,,Protecting Europe’s Energy Security Act (PEESA),1,1,,,
LegalBasis,92027,,,,,CAATSA - Section 232,1,1,,,
LegalBasis,92031,,,,,Executive Order 14014,1,1,,,
LegalBasis,92043,,,,,Executive Order (Russia),1,1,,,
LegalBasis,92049,,,,,Executive Order 14024 (Russia),1,1,,,
LegalBasis,92065,,,,,Executive Order 14039,1,1,,,
LegalBasis,92070,,,,,Executive Order 14038 (Belarus),1,1,,,
LegalBasis,92074,,,,,Executive Order 14033 (Balkans),1,1,,,
LegalBasis,92076,,,,,Executive Order 14046 (Ethiopia),1,1,,,
LegalBasis,92123,,,,,Executive Order 14065,1,1,,,
LegalBasis,92139,,,,,Executive Order 14078 (Hostages),1,1,,,
LegalBasis,92141,,,,,UHRPA,1,1,,,
LegalBasis,92157,,,,,Executive Order 14098 (Sudan),1,1,,,
LegalBasis,92763,,,,,Executive Order 14115 (West bank),1,1,,,
PartySubType,1,,,,,,,4,,,
PartySubType,2,,,,,,,4,,,
PartySubType,3,,,,,,,2,,,
PartySubType,4,,,,,,,1,,,
RelationType,1555,,,,,,,,,false,
RelationType,15001,,,,,,,,,false,
RelationType,15002,,,,,,,,,false,
RelationType,15003,,,,,,,,,false,
RelationType,15004,,,,,,,,,false,
RelationType,91422,,,,,,,,,false,
RelationType,91725,,,,,,,,,false,
RelationType,91900,,,,,,,,,false,
RelationType,92019,,,,,,,,,false,
RelationType,92122,,,,,,,,,false,
Script,160,,,,,,,,Arab,,
Script,230,,,,,,,,Armn,,
Script,501,,,,,,,,Hans,,
Script,502,,,,,,,,Hant,,
Script,220,,,,,,,,Cyrl,,
Script,240,,,,,,,,Geor,,
Script,200,,,,,,,,Grek,,
Script,125,,,,,,,,Hebrew,,
Script,413,,,,,,,,Japanese,,
Script,215,,,,,,,,Latin,,
Script,287,,,,,,,,Korean,,
