ID,From-ProfileID,To-ProfileID,RelationTypeID,RelationQualityID,Former,SanctionsEntryID
8618,27163,27159,15003,1,false,27163
8620,27164,23065,15001,1,false,27164
8619,27164,27159,15003,1,false,27164
8621,27165,27159,15001,1,false,27165
8622,27166,27159,15003,1,false,27166
8675,27183,27264,15003,1540,false,27183
8676,27184,27264,15003,1540,false,27184
8677,27185,27264,15003,1540,false,27185
8678,27186,27264,15003,1540,false,27186
8679,27187,27264,15003,1540,false,27187
8665,27188,27186,15002,1540,false,27188
8637,27189,4697,15001,1,false,27189
8597,27190,27189,15003,1,false,27190
8599,27191,27189,15003,1,false,27191
8598,27192,27189,15003,1,false,27192
8692,27194,21171,15001,1,false,27194
8694,27195,21171,15001,1,false,27195
8695,27197,27194,15003,1,false,27197
8697,27198,27195,15003,1,false,27198
8696,27200,27194,15003,1,false,27200
12053,27207,12215,15001,1,false,27207
12054,27208,12215,15001,1,false,27208
12050,27209,12215,15001,1,false,27209
12051,27211,12215,15001,1,false,27211
12052,27212,12215,15001,1,false,27212
8660,27228,4695,15001,1,false,27228
8661,27229,4695,15001,1,false,27229
8662,27230,4695,15001,1,false,27230
8663,27231,4695,15001,1,false,27231
8747,27232,23844,15001,1,false,27232
8745,27255,4695,15001,1,false,27255
8744,27255,10465,91725,1,false,27255
8746,27256,4695,15001,1,false,27256
8673,27264,11786,15001,1540,false,27264
8674,27265,11786,15001,1,false,27265
8680,27266,27264,15003,1540,false,27266
8681,27267,27266,15002,1540,false,27267
8682,27268,27264,15003,1540,false,27268
8753,27269,27187,15001,1,false,27269
8683,27270,27264,15002,1540,false,27270
8684,27271,11786,15002,1540,false,27271
8685,27272,11786,15002,1540,false,27272
11348,27273,4697,15002,1,false,27273
8686,27273,11786,15002,1540,false,27273
8687,27274,27273,15001,1540,false,27274
8762,27279,27264,15003,1,false,27279
8764,27280,27264,15003,1,false,27280
8763,27281,27264,15003,1,false,27281
8759,27282,27186,15003,1,false,27282
8760,27284,27186,15003,1,false,27284
8758,27285,27264,15001,1,false,27285
8693,27286,27287,15003,1,false,27286
8757,27287,27273,15001,1,false,27287
8699,27292,21171,15001,1,false,27292
8700,27293,27292,15003,1,false,27293
8752,27305,27264,15001,1,false,27305
8770,27310,27269,15003,1,false,27310
15568,27323,27318,91725,1,false,27323
8737,27328,26122,15003,1,false,27328
8738,27329,26122,15003,1,false,27329
8739,27330,26122,15003,1,false,27330
8740,27331,26122,15003,1,false,27331
8741,27332,26122,15003,1,false,27332
9083,27408,27526,15003,1,false,27408
9084,27408,27532,15003,1,false,27408
9000,27423,23288,15002,1,false,27423
8787,27425,27424,15003,1,false,27425
8777,27431,27426,15003,1540,false,27431
8778,27432,27426,15003,1540,false,27432
8784,27432,27428,15003,1,false,27432
8785,27433,27426,15003,1,false,27433
8786,27433,27429,15003,1,false,27433
8780,27445,10392,15001,1,false,27445
8779,27445,10465,15001,1,false,27445
8781,27446,10392,15001,1,false,27446
9085,27528,27531,15003,1,false,27528
9086,27528,27532,15003,1,false,27528
9082,27529,27533,15003,1,false,27529
8817,27589,27588,15003,1,false,27589
8818,27591,27590,15003,1,false,27591
8820,27592,27590,15003,1,false,27592
8819,27593,27590,15003,1,false,27593
8821,27594,27590,15003,1,false,27594
8822,27595,27590,15003,1,false,27595
8878,27646,26324,15003,1,false,27646
9332,27787,10411,91725,1,false,27787
9333,27788,10411,91725,1,false,27788
11828,27854,12727,15002,1,false,27854
17746,27855,10392,15002,1,false,27855
8857,27865,24879,91725,1,false,27865
9947,27884,24647,15001,1,false,27884
9951,27885,27884,15002,1,false,27885
9953,27886,27885,15003,1,false,27886
9983,27887,27885,15003,1,false,27887
9955,27888,27885,15003,1,false,27888
11315,27943,28444,15003,1,false,27943
11316,27944,28444,15003,1,false,27944
11317,27945,28444,15003,1,false,27945
8903,27963,8759,15001,1,false,27963
8905,27965,8759,15001,1,false,27965
8904,27966,27963,15003,1,false,27966
8899,27967,18647,15001,1,false,27967
8901,27968,27967,91725,1,false,27968
8900,27969,18647,15001,1,false,27969
8897,27971,8759,15001,1,false,27971
8902,27972,8759,15001,1,false,27972
8898,27973,8759,15001,1,false,27973
8917,27993,26934,15003,1540,false,27993
8937,28012,26367,15003,1,false,28012
8938,28013,26367,15003,1,false,28013
8939,28014,26367,15003,1,false,28014
8940,28015,26367,15003,1,false,28015
8941,28016,26367,15003,1,false,28016
8942,28017,26367,15003,1,false,28017
9023,28037,28036,15002,1,false,28037
9024,28038,28130,15003,1,false,28038
9025,28039,28037,15003,1,false,28039
9026,28040,28131,15003,1,false,28040
8960,28043,28042,15003,1,false,28043
8961,28044,28042,15003,1,false,28044
8962,28045,28042,15003,1,false,28045
8957,28046,28042,15003,1,false,28046
8958,28047,28042,15003,1,false,28047
8963,28048,28042,15003,1,false,28048
8964,28049,28042,15003,1,false,28049
8965,28050,28042,15003,1,false,28050
8959,28051,28042,15003,1,false,28051
8966,28052,28042,15003,1,false,28052
8967,28053,28042,15003,1,false,28053
8970,28058,28055,15003,1,false,28058
